frame_number;seconds;resolution
0;0;640x480
1;0.04;640x480
2;0.08;640x480
3;0.12;640x480
4;0.16;640x480
5;0.2;640x480
6;0.24;640x480
7;0.28;640x480
8;0.32;640x480
9;0.36;640x480
10;0.4;640x480
11;0.44;640x480
12;0.48;640x480
13;0.52;640x480
14;0.56;640x480
15;0.6;640x480
16;0.64;640x480
17;0.68;640x480
18;0.72;640x480
19;0.76;640x480
20;0.8;640x480
21;0.84;640x480
22;0.88;640x480
23;0.92;640x480
24;0.96;640x480
25;1;640x480
26;1.04;640x480
27;1.08;640x480
28;1.12;640x480
29;1.16;640x480
30;1.2;640x480
31;1.24;640x480
32;1.28;640x480
33;1.32;640x480
34;1.36;640x480
35;1.4;640x480
36;1.44;640x480
37;1.48;640x480
38;1.52;640x480
39;1.56;640x480
40;1.6;640x480
41;1.64;640x480
42;1.68;640x480
43;1.72;640x480
44;1.76;640x480
45;1.8;640x480
46;1.84;640x480
47;1.88;640x480
48;1.92;640x480
49;1.96;640x480
50;2;640x480
51;2.04;640x480
52;2.08;640x480
53;2.12;640x480
54;2.16;640x480
55;2.2;640x480
56;2.24;640x480
57;2.28;640x480
58;2.32;640x480
59;2.36;640x480
60;2.4;640x480
61;2.44;640x480
62;2.48;640x480
63;2.52;640x480
64;2.56;640x480
65;2.6;640x480
66;2.64;640x480
67;2.68;640x480
68;2.72;640x480
69;2.76;640x480
70;2.8;640x480
71;2.84;640x480
72;2.88;640x480
73;2.92;640x480
74;2.96;640x480
75;3;640x480
76;3.04;640x480
77;3.08;640x480
78;3.12;640x480
79;3.16;640x480
80;3.2;640x480
81;3.24;640x480
82;3.28;640x480
83;3.32;640x480
84;3.36;640x480
85;3.4;640x480
86;3.44;640x480
87;3.48;640x480
88;3.52;640x480
89;3.56;640x480
90;3.6;640x480
91;3.64;640x480
92;3.68;640x480
93;3.72;640x480
94;3.76;640x480
95;3.8;640x480
96;3.84;640x480
97;3.88;640x480
98;3.92;640x480
99;3.96;640x480
100;4;640x480
101;4.04;640x480
102;4.08;640x480
103;4.12;640x480
104;4.16;640x480
105;4.2;640x480
106;4.24;640x480
107;4.28;640x480
108;4.32;640x480
109;4.36;640x480
110;4.4;640x480
111;4.44;640x480
112;4.48;640x480
113;4.52;640x480
114;4.56;640x480
115;4.6;640x480
116;4.64;640x480
117;4.68;640x480
118;4.72;640x480
119;4.76;640x480
120;4.8;640x480
121;4.84;640x480
122;4.88;640x480
123;4.92;640x480
124;4.96;640x480
125;5;640x480
126;5.04;640x480
127;5.08;640x480
128;5.12;640x480
129;5.16;640x480
130;5.2;640x480
131;5.24;640x480
132;5.28;640x480
133;5.32;640x480
134;5.36;640x480
135;5.4;640x480
136;5.44;640x480
137;5.48;640x480
138;5.52;640x480
139;5.56;640x480
140;5.6;640x480
141;5.64;640x480
142;5.68;640x480
143;5.72;640x480
144;5.76;640x480
145;5.8;640x480
146;5.84;640x480
147;5.88;640x480
148;5.92;640x480
149;5.96;640x480
150;6;640x480
151;6.04;640x480
152;6.08;640x480
153;6.12;640x480
154;6.16;640x480
