"No.","Time","Source","Destination","Protocol","Length","Info"
"119","48.460197826","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=325 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"121","48.767598518","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=427 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"123","49.181038606","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=529 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"125","49.594911081","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=631 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"127","49.997096594","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=733 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"130","50.406747582","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=835 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"132","50.815889497","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=937 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"134","51.228902086","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1039 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"136","51.634805391","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1141 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"141","52.044576436","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1243 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"143","52.454059875","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1345 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"145","52.863555886","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1447 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"147","53.171230914","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1549 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"149","53.580835737","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1651 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"151","53.990344668","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1753 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"153","54.399461371","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1855 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"155","54.809377337","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=1957 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"157","55.219309925","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=2059 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"159","55.630972691","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=2161 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"161","56.040525972","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=2263 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"163","56.449663207","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=2365 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
